日期,地区,气温
2020-01-10,北京,-0.5
2020-01-22,北京,0.5
2020-02-10,北京,1.5
2020-02-22,北京,2.5
2020-03-10,北京,7.5
2020-03-22,北京,8.5
2021-01-10,北京,2.5
2021-01-22,北京,3.5
2021-02-10,北京,4.5
2021-02-22,北京,5.5
2021-03-10,北京,4.5
2021-03-22,北京,5.5
2022-01-10,北京,5.5
2022-01-22,北京,6.5
2022-02-10,北京,7.5
2022-02-22,北京,8.5
2022-03-10,北京,1.5
2022-03-22,北京,2.5
2020-01-10,上海,4.5
2020-01-22,上海,5.5
2020-02-10,上海,9.5
2020-02-22,上海,10.5
2020-03-10,上海,11.5
2020-03-22,上海,12.5
2021-01-10,上海,7.5
2021-01-22,上海,8.5
2021-02-10,上海,6.5
2021-02-22,上海,7.5
2021-03-10,上海,14.5
2021-03-22,上海,15.5
2022-01-10,上海,10.5
2022-01-22,上海,11.5
2022-02-10,上海,3.5
2022-02-22,上海,4.5
2022-03-10,上海,17.5
2022-03-22,上海,18.5
